X;Y;Z;FileName
723;450;8;reg053
715;844;8;reg053
705;1395;6;reg053
729;501;7;reg053
729;579;7;reg053
717;763;7;reg053
721;834;8;reg053
724;746;7;reg053
731;512;8;reg053
723;912;9;reg053
727;982;8;reg053
725;1303;9;reg053
717;1066;8;reg053
721;1239;7;reg053
726;559;7;reg053
735;744;7;reg053
744;494;8;reg053
737;479;8;reg053
736;1102;9;reg053
733;660;8;reg053
746;502;7;reg053
719;1362;6;reg053
738;547;7;reg053
749;531;8;reg053
753;399;9;reg053
754;639;8;reg053
758;880;7;reg053
751;766;9;reg053
756;449;9;reg053
746;847;7;reg053
764;349;8;reg053
751;1336;6;reg053
747;1125;8;reg053
762;672;9;reg053
765;508;8;reg053
772;600;8;reg053
737;1239;7;reg053
770;418;7;reg053
778;335;6;reg053
760;1313;9;reg053
776;576;9;reg053
780;397;6;reg053
785;422;7;reg053
772;1413;8;reg053
795;454;8;reg053
790;392;8;reg053
783;1199;8;reg053
784;1004;8;reg053
797;569;8;reg053
804;376;7;reg053
816;95;6;reg053
803;872;8;reg053
809;790;7;reg053
816;420;7;reg053
809;1165;7;reg053
816;550;8;reg053
811;524;8;reg053
823;14;7;reg053
796;1293;9;reg053
811;956;9;reg053
811;1136;7;reg053
814;1182;8;reg053
832;151;7;reg053
813;1040;9;reg053
834;456;8;reg053
845;173;8;reg053
844;231;7;reg053
826;875;8;reg053
839;796;8;reg053
846;505;9;reg053
855;166;9;reg053
838;572;9;reg053
856;113;7;reg053
850;461;8;reg053
850;525;8;reg053
844;679;9;reg053
858;68;8;reg053
840;971;8;reg053
830;1135;6;reg053
857;498;8;reg053
840;1049;7;reg053
833;1118;8;reg053
848;1127;9;reg053
855;699;7;reg053
836;1326;7;reg053
871;134;7;reg053
864;200;8;reg053
867;400;6;reg053
868;262;6;reg053
874;365;6;reg053
873;825;8;reg053
864;1289;6;reg053
894;144;8;reg053
862;1208;7;reg053
874;1188;8;reg053
874;1244;9;reg053
897;377;9;reg053
890;753;8;reg053
887;1062;9;reg053
890;1157;8;reg053
911;65;8;reg053
916;345;7;reg053
928;116;9;reg053
904;1403;7;reg053
936;80;6;reg053
917;1218;7;reg053
941;50;7;reg053
926;1355;7;reg053
950;63;6;reg053
957;336;8;reg053
958;16;6;reg053
920;1320;7;reg053
948;811;7;reg053
949;1156;6;reg053
978;20;8;reg053
965;603;7;reg053
960;1127;7;reg053
964;956;8;reg053
991;66;6;reg053
996;118;6;reg053
985;661;7;reg053
1003;43;6;reg053
1006;290;8;reg053
1004;257;8;reg053
987;1282;7;reg053
1007;772;7;reg053
1018;241;7;reg053
1015;685;6;reg053
1028;514;7;reg053
1022;666;8;reg053
1029;399;6;reg053
1023;714;7;reg053
1042;61;6;reg053
1027;1125;8;reg053
1044;206;9;reg053
1049;21;8;reg053
1032;1220;8;reg053
1031;1067;8;reg053
1055;353;7;reg053
1040;1200;8;reg053
1064;415;8;reg053
1059;754;6;reg053
1047;1242;8;reg053
1085;97;8;reg053
1075;324;8;reg053
1081;184;7;reg053
1060;1359;6;reg053
1091;269;7;reg053
1071;1071;9;reg053
1098;12;7;reg053
1103;299;6;reg053
1106;379;8;reg053
1086;1411;7;reg053
1116;167;6;reg053
1118;334;8;reg053
1108;1251;8;reg053
1097;936;8;reg053
1101;1202;8;reg053
1105;970;8;reg053
1124;385;9;reg053
1127;306;8;reg053
1127;405;7;reg053
1118;1156;8;reg053
1139;166;7;reg053
1111;1321;9;reg053
1145;400;9;reg053
1147;327;8;reg053
1132;1426;8;reg053
1127;1324;9;reg053
1146;1164;8;reg053
1164;1155;9;reg053
1143;1325;8;reg053
1190;479;7;reg053
1189;321;8;reg053
1183;1137;8;reg053
1187;1006;6;reg053
1200;507;7;reg053
1204;995;8;reg053
1197;1349;9;reg053
1210;604;6;reg053
1209;1155;9;reg053
1231;443;8;reg053
1227;1004;8;reg053
1243;45;8;reg053
1230;1071;8;reg053
1272;176;8;reg053
1260;392;9;reg053
1259;242;7;reg053
1274;498;8;reg053
1278;310;8;reg053
1277;422;7;reg053
1263;1358;6;reg053
1270;971;9;reg053
1269;1197;9;reg053
1286;952;6;reg053
1280;930;8;reg053
1283;1007;6;reg053
1288;1085;8;reg053
1323;6;8;reg053
1330;127;6;reg053
1326;711;7;reg053
1320;1099;9;reg053
1347;278;8;reg053
1351;373;8;reg053
1356;144;8;reg053
1345;962;8;reg053
1349;1007;8;reg053
1370;506;8;reg053
1350;1036;6;reg053
1387;531;6;reg053
1389;509;6;reg053
1398;135;7;reg053
1371;973;8;reg053
1386;1111;6;reg053
1404;27;9;reg053
1404;311;9;reg053
1427;870;8;reg053
1471;58;8;reg053
1454;910;7;reg053
1451;922;7;reg053
1563;32;8;reg053
1563;692;8;reg053
1580;411;6;reg053
1562;1355;7;reg053
1620;226;7;reg053
1622;290;9;reg053
1769;210;7;reg053
633;1106;6;reg054
656;1094;6;reg054
867;288;7;reg054
893;877;7;reg054
905;415;7;reg054
897;647;8;reg054
895;1246;9;reg054
943;249;6;reg054
917;866;9;reg054
953;724;9;reg054
972;130;7;reg054
971;530;7;reg054
945;1032;6;reg054
953;1181;9;reg054
1027;1319;9;reg054
1042;1188;8;reg054
1041;1294;7;reg054
1049;769;8;reg054
1051;1240;9;reg054
1104;1196;8;reg054
1112;1177;7;reg054
1140;1128;8;reg054
1130;1290;8;reg054
1259;1284;7;reg054
37;912;7;reg055
296;968;8;reg055
340;803;6;reg055
481;573;6;reg055
835;186;6;reg055
859;60;6;reg055
918;82;7;reg055
947;110;7;reg055
1059;152;7;reg055
1134;1126;8;reg055
1314;1377;8;reg055
1364;1415;7;reg055
1527;1374;8;reg055
1541;1044;8;reg055
1551;1043;8;reg055
1551;1315;6;reg055
1575;1185;7;reg055
1587;1197;6;reg055
1599;1397;6;reg055
1636;968;7;reg055
1644;939;6;reg055
1633;1250;7;reg055
1727;960;7;reg055
1711;1262;8;reg055
1739;1105;6;reg055
1729;1182;6;reg055
1757;537;6;reg055
1763;819;6;reg055
1770;553;7;reg055
1773;1202;6;reg055
1783;1190;7;reg055
1782;798;6;reg055
1769;1124;7;reg055
1789;1005;7;reg055
1808;1050;7;reg055
1839;952;8;reg055
62;797;6;reg056
61;674;8;reg056
66;932;8;reg056
99;594;8;reg056
122;580;8;reg056
131;942;7;reg056
120;958;7;reg056
171;611;7;reg056
268;640;7;reg056
293;694;7;reg056
342;371;8;reg056
358;888;7;reg056
399;729;7;reg056
428;893;6;reg056
469;650;8;reg056
480;861;6;reg056
504;647;7;reg056
543;770;7;reg056
597;362;8;reg056
594;687;7;reg056
602;623;8;reg056
604;660;7;reg056
620;637;7;reg056
629;826;7;reg056
638;911;6;reg056
669;634;6;reg056
661;608;7;reg056
664;1196;8;reg056
693;729;7;reg056
792;687;7;reg056
810;1032;7;reg056
806;849;7;reg056
835;644;6;reg056
841;978;8;reg056
866;622;8;reg056
871;586;8;reg056
868;767;7;reg056
881;977;6;reg056
896;678;6;reg056
897;721;7;reg056
900;922;6;reg056
920;610;6;reg056
943;854;6;reg056
925;562;7;reg056
925;672;8;reg056
947;889;7;reg056
951;560;8;reg056
954;645;7;reg056
971;613;8;reg056
973;695;7;reg056
977;894;7;reg056
978;876;8;reg056
994;866;6;reg056
991;718;8;reg056
975;1024;7;reg056
992;948;7;reg056
1032;342;7;reg056
1026;970;8;reg056
1021;933;7;reg056
1038;725;7;reg056
1049;983;6;reg056
1056;473;7;reg056
1072;335;7;reg056
1074;505;7;reg056
1077;361;8;reg056
1081;681;7;reg056
1084;526;7;reg056
1121;792;8;reg056
1159;794;7;reg056
1164;448;7;reg056
1169;640;8;reg056
1211;850;7;reg056
1232;866;7;reg056
1265;843;7;reg056
1271;676;8;reg056
1273;866;6;reg056
1306;552;8;reg056
1309;661;7;reg056
1365;566;7;reg056
1370;618;8;reg056
1385;622;7;reg056
1393;892;7;reg056
1389;916;9;reg056
1412;1077;7;reg056
1429;708;7;reg056
1444;668;7;reg056
1449;150;9;reg056
1479;110;8;reg056
1464;700;8;reg056
1473;1074;6;reg056
1496;580;6;reg056
1491;636;8;reg056
1496;671;8;reg056
1482;958;7;reg056
1511;259;7;reg056
1501;978;7;reg056
1516;371;8;reg056
1512;1139;7;reg056
1525;760;6;reg056
1543;765;8;reg056
1539;913;7;reg056
1550;386;7;reg056
1552;719;7;reg056
1561;354;7;reg056
1547;907;6;reg056
1563;398;8;reg056
1554;737;8;reg056
1564;499;8;reg056
1563;1102;7;reg056
1573;761;7;reg056
1586;276;8;reg056
1582;621;7;reg056
1599;384;7;reg056
1579;1116;8;reg056
1613;236;8;reg056
1631;312;7;reg056
1622;694;8;reg056
1627;714;8;reg056
1631;786;8;reg056
1639;645;7;reg056
1652;708;8;reg056
1674;721;7;reg056
1663;821;8;reg056
1671;1215;6;reg056
1689;747;7;reg056
1691;914;8;reg056
1721;463;8;reg056
1706;1188;8;reg056
1733;890;8;reg056
1780;939;6;reg056
1811;912;7;reg056
181;508;8;reg067
189;516;8;reg067
315;370;10;reg067
432;54;9;reg067
456;59;8;reg067
609;236;10;reg067
660;155;9;reg067
669;158;9;reg067
745;121;8;reg067
799;402;10;reg067
818;505;9;reg067
820;430;10;reg067
824;679;10;reg067
930;620;9;reg067
950;675;10;reg067
966;814;9;reg067
1003;763;10;reg067
1013;583;9;reg067
1057;253;9;reg067
1109;754;10;reg067
1100;1423;10;reg067
1116;746;7;reg067
1188;422;8;reg067
1295;303;8;reg067
1364;1131;10;reg067
1403;973;10;reg067
1433;593;9;reg067
1481;1175;10;reg067
214;435;9;reg068
287;1057;10;reg068
415;1124;10;reg068
504;1010;9;reg068
538;869;11;reg068
613;731;9;reg068
626;563;9;reg068
632;1155;10;reg068
654;1087;10;reg068
671;805;9;reg068
715;924;10;reg068
728;936;10;reg068
771;444;9;reg068
567;818;8;reg015
592;791;7;reg015
593;1043;6;reg015
632;656;7;reg015
704;808;7;reg015
735;624;7;reg015
720;917;8;reg015
746;1086;8;reg015
1094;261;7;reg015
733;254;6;reg016
733;270;6;reg016
1249;900;7;reg016
1310;588;7;reg016
1317;790;8;reg016
1419;24;6;reg016
1648;977;7;reg016
454;760;6;reg023
523;1033;7;reg023
715;1415;7;reg023
728;1151;8;reg023
786;466;7;reg023
829;711;6;reg023
837;1160;8;reg023
871;632;6;reg023
916;1227;7;reg023
963;641;6;reg023
1025;1050;8;reg023
1024;1104;6;reg023
1090;762;8;reg023
1086;663;7;reg023
1133;1284;10;reg023
1149;1289;9;reg023
1334;1042;7;reg023
1338;1034;9;reg023
1428;908;8;reg023
1424;918;6;reg023
1795;426;8;reg023
72;590;8;reg024
717;9;7;reg024
888;429;7;reg024
1028;1326;7;reg024
1033;1358;8;reg024
1116;586;8;reg024
1123;358;8;reg024
1172;56;8;reg024
1240;404;6;reg024
1277;231;8;reg024
1264;372;7;reg024
1311;290;8;reg024
1414;291;7;reg024
1436;100;8;reg024
1449;605;8;reg024
1509;1072;9;reg024
1563;513;8;reg024
1606;591;8;reg024
1618;871;8;reg024
1677;303;7;reg024
1690;557;8;reg024
1784;899;8;reg024
1835;1439;8;reg024
594;1031;6;reg028
606;1019;6;reg028
713;1107;6;reg028
250;1036;7;reg032
97;487;6;reg033
98;507;6;reg033
161;628;7;reg033
188;1070;8;reg033
207;1087;8;reg033
272;730;8;reg033
339;378;8;reg033
350;551;7;reg033
368;569;9;reg033
375;626;8;reg033
373;916;8;reg033
378;1374;8;reg033
430;113;8;reg033
439;209;8;reg033
433;460;7;reg033
441;88;7;reg033
443;67;7;reg033
475;55;7;reg033
455;887;7;reg033
497;477;8;reg033
523;197;7;reg033
540;196;8;reg033
536;621;8;reg033
593;938;8;reg033
621;165;8;reg033
616;934;8;reg033
638;534;9;reg033
673;422;8;reg033
754;1069;7;reg033
744;1052;7;reg033
767;964;8;reg033
779;707;7;reg033
777;984;9;reg033
791;111;8;reg033
800;310;8;reg033
801;939;7;reg033
830;82;7;reg033
840;133;7;reg033
863;39;8;reg033
869;80;7;reg033
884;62;8;reg033
870;601;9;reg033
889;45;8;reg033
897;87;6;reg033
879;893;7;reg033
918;31;7;reg033
948;290;8;reg033
957;26;8;reg033
969;450;6;reg033
1022;247;8;reg033
1045;984;7;reg033
1059;424;8;reg033
1095;103;8;reg033
1109;329;8;reg033
1120;141;7;reg033
1141;29;7;reg033
1252;533;8;reg033
1290;240;8;reg033
1298;207;8;reg033
1291;291;7;reg033
1305;99;8;reg033
1307;290;7;reg033
1343;260;9;reg033
1358;352;7;reg033
1395;279;8;reg033
1399;268;8;reg033
1431;303;8;reg033
1433;886;7;reg033
1460;54;8;reg033
1534;221;7;reg033
219;383;9;reg034
270;673;9;reg034
1466;1234;8;reg034
1481;1118;8;reg034
1495;1317;8;reg034
1590;1231;7;reg034
1607;1250;7;reg034
1620;1194;8;reg034
1641;1245;9;reg034
1658;1121;8;reg034
1674;1240;9;reg034
1677;1092;8;reg034
1694;818;7;reg034
1701;1283;8;reg034
1648;136;7;reg047
133;311;7;reg048
996;735;7;reg048
1406;124;7;reg048
1427;117;7;reg048
1651;235;6;reg048
1731;365;7;reg048
