barcodes,xcoord,ycoord
OBRBGBOBOGGBOR,2437.7,3308.1
RGBOOOGBRBGOGO,1427.7,2418.1
OROROBRBBROOGG,2547.4,2189.9
RGGRGBRRGRGGBO,3552.6,3036.5
BOBGOGOOGRGOGG,2430.5,1733.2
BOGOBGGOROBOBR,3260.4,4458.7
ORROBGRORORBGO,4971.2,2129.3
BGOROBRBROBRBB,1105.8,3376.6
OROBGBBOGBGGBG,1801.8,4723.9
RBOROOROGRROOR,2377.9,3278.7
RORBRORGGRBORB,2501.6,3234.6
OGRBBRRRROGBBB,3038.8,4416.4
BROGBOGROBOORB,4115.1,2634
OBBGROBRORBGRB,2566.7,3308.9
GGOOBBGGBRRRRB,3967.6,4347
OBGORGROORBOGG,2436.4,2670.3
GGOGGBBRBBBBBB,4038.5,4806.2
BOORGBRRBOOOBR,5112.4,2830.8
BBOOOBGOOROOGB,3516,4426.1
OGRROBROGBBOBO,1303.5,3882.1
OBGBRGOGGRBGOR,2876.8,3459
GOGRROOOORBRRB,5159.9,4023.8
GBROOBGRBGORRR,2910.8,3210
BGRBROGRGORGRO,4280.4,4795.6
OROOOGGBROBROG,785.24,4194.9
RBBGBROROBGORO,1306.5,3331.1
OGGOROGOOOBBRO,989.67,3283.5
GORORBRGRBBGGO,5189.1,2369.3
GRBOOGRBROGGGR,3852.2,4722
OGRGRRGGBGGOOB,1907.5,4317.7
RGRBBGGRBRRGRG,5025.6,3005.6
OBBOBOBOOGOGGG,1114.6,3402.8
RBOOOOOBGORGOR,4978.3,3179.6
BGOGRRRGOBBOGB,4785.4,3509.5
BGROOGGGGOOGGR,2003.7,4908.2
OBBGOBROROBRRO,2245.4,4281.9
RGBOBGBGRRBROR,2611.3,3365.3
BGBOBOGORGRBBB,1911.1,4926.5
OOBORBRBROGBOB,2415.7,3351.5
BOGGBGRRGBRRRR,3745.2,1279.4
BGGGBGGGOGRRGO,2917.9,3430.2
GOGOOBRGOBOGOO,1734.4,3188.5
GORGBROGGGRBGG,5208.1,2522.1
BORGBOOGBBRBGO,2263.6,4218.8
RRGRRRGOGRROOO,3655.3,2992.4
GBROGRORORBGOB,996.65,3515.3
ROGOBBBORBGBGR,2333.5,3509.7
BGGOBGROOOROOB,3827.3,2010.5
GBGRGBRRRRBRRR,3579.3,3440.7
ROGBRGBRBBORRG,2647.1,5171.8
RGBOOBORBORBRR,5033.9,2961.5
RBRNBBRGBOGRRG,3330.1,3158.7
GGOOBGOBRBBBBB,3088.4,510.5
OOGRGOOGGRBROO,1928.3,4581.5
BOOOGGRGBGROGR,4677.4,3756.7
BBBOBBOGGRBBGR,2742.6,3464.4
OGRGBROGGOBGGO,3994.6,5404.8
GRGBGBRBROBOBO,4495.6,2434.4
OOGRBGGGORRGGO,4686.6,2288.1
BBBRRBOOGBBOGG,1901.9,4517.3
BRRRRGGBOORGBR,2115.5,2215.9
BBBGRBBBGORRBR,3124.3,4421.5
BBOGBROBRBORRO,4979.8,2979.8
GRBRRBBGBRRRGG,2636.6,3448
BBGNRBROORBOOO,1813.3,4637.4
OBOGOBBGBOGGOR,2112.6,5072.1
BOBBORGGBOBOBR,4775.9,3610.9
BBOBBROOGBRBGB,2082.8,5139.2
BRGOGBROGOBRBB,2224.5,662.5
RGOOROGORGRRRB,1429.4,3540
BOOBBGRORBOBGB,4966.2,2111.8
BOBRRBGGOOBRGG,1312.2,3678.5
BRBGGRGGROBRRR,4541.4,5152.4
ORGGGGGGGOBGBR,5152.2,2654.1
BBOBBBRGGOOGRR,1091.3,3488.4
BOOBOOBBRROGGG,4406,1511
ORRBRORGBBGBOR,4630.1,2379.3
RGGOBGOBOBBRBB,4382.8,2474.3
OOOOBRGRBGOGOO,1362.3,6016.9
BORBBOROROOROG,3538.5,4410.8
OBORBBGGOBGROO,1572.9,4467.6
GOGOBBGGBBGOGR,2915.5,3237.6
GGOOBORGOGOGOG,3353.2,3485.1
BOBOORGROBGBRO,1445.4,3375.8
GGBOBRRGORROBR,3596.4,3443.8
RGBOGBBRBBRBRR,1118.9,3447.5
GRBOORRROGROBO,3340.9,3191.4
ORRORBGRRRBBRO,3209.8,491
RBGBBROROORGRB,2342.2,3360.4
OOOGGGRGOBRRGO,1749.6,4255.9
BOOOOBRGRORGOR,1960.5,1820.8
RRBOBRROGBBBBB,1732.7,4380.6
OROGOGGBORRGGG,3590.2,4435.2
OBOGGBGRGROBBG,2083,2099.5
RGRRBRGRBRRRRB,3146.5,3225.5
BRRRGRRBRRROOR,1424.1,2387.6
BGRBGGGOORGOGR,2936.5,4387.8
OOBBGRRGRBOGOR,4684.8,2260
BBRORRBOGBBRGO,3178.6,4428.4
ROGORGRROOORRO,3229.3,4430.1
GGOOGBGGOBBGOG,3365.3,4092.3
BRRBBBOGRRGGGB,3876.4,4390.8
RGGGBBGRGOGRRO,3242.8,3485.1
BBGORBGGGOBGBR,2070.2,5032
ORROBBORBRROBO,2193.3,3504
RBRGRRGGGROGGR,2458.1,2607
BRGRRORBGBRRGG,2840.8,3428.2
BGOGBOGGGROOGG,4084.2,2987.1
ROGOGROBOORGGO,4334.3,1236.8
RORGOGGRGOBGBO,4121.6,4259.2
BROBRBRORGROOB,4134.6,4269.2
BOGOGBBOOROBGG,4061.8,4291.8
BRRORRORGGBORR,4264,4164.8
ORGOOBOGRBGGGR,2360.3,3459.9
RGBGOBGRORBBRR,2001.2,4184.5
GBBOGOGOBROBBO,1895.3,4967.6
BOOBBBRGRRGBGB,3076.1,3497.3
RGOORGBORBRROO,833.67,3455.2
GGBBGGOOROGRBB,3678.4,4405.2
BOBBGOBROOOOGR,4495,4469.4
OORBRORRRROBGR,3045.5,1228.2
GGORROGRRBRBRR,1690.6,4622.5
GORGGBRGBBOBBR,4701.1,5215.7
BGROBOGROBOBBO,5048.4,2925.4
RRGRGBGBORGOOG,5201.5,2341
BBBORRBGBRROGG,1675.8,3559.5
GOBROBBGOBGBBR,2587.3,4283.5
ORRRGOOOGOBRBR,1963.9,4518.7
OOORBGROGRROOG,3537,3396.3
GBRORRGGROBGGO,4636.4,3758.5
OOBOBBGGOBRGOG,4154.1,2536.9
GRBROGRRBRROBR,4800.6,3480.2
BRGGOOGROOOORG,2782.1,2422.7
RGOBBBGOGOGRGR,2243,3508.5
BOBROBBGGBRORR,3575.1,3019.1
BBBOOGOORBBBOO,4609.5,3740.2
RROOGBBBRBRRBB,3376.7,3499
ROBORGGRROOGBO,1336.5,3831.9
BBGGOBGOGOOBBG,2591.2,3225.7
RORNRBGBRRGGGO,1235,3327.7
OROGOGRROBRGRO,2266.4,3431.1
ROOGBROBGOGGOB,2353.8,3354.9
RRBOOBGBRBGBOG,432.99,3419.6
RBROROBROBRGRR,4936.8,2179.1
OBBGROBROGRRRR,2845,3286.5
OBGGOGBGOOBORR,2177.7,2865.9
ORGGGBGGBRBROO,4869.7,3330.9
OORGBBGGOBBOOB,1299.4,4036.5
RRRGBBGOORBGGO,2149.2,5261.1
GBRRRRBGRGGBRR,5134.1,2682.4
OOGBRGOOBRRRBB,1872.8,4675.5
ORRRGBGROBOORO,2202.7,3488.3
BBGRGBBBGGBGGG,2863.8,5310.3
BGRRBBGGGROROG,2572.5,3406.5
GROORGGRBBGBRG,1197.2,3685.6
OOBRGBROROBGBB,5098,2935.2
GGRRBBGRBGRGRG,3310.7,3146.7
RGGGNGOBRBBOOB,1852.5,5630
GGBGBBGBOGOOBO,1963.3,4869.6
BGGBOBGOGOGRGR,1471.6,3063.9
GGOOORRBOGGRGR,3537.5,3436.7
GGBGROOOGGOORB,4318.9,4040.1
OOBBGRRBOBOGBB,4968.6,2182.7
ORBGGGBBOROOBO,1516.6,3305.7
OROBRBOOBORGGB,5020.9,2139.2
RBRBBBOROROORO,4189.2,4239.4
OORORRGGGRBGGG,1486.2,3437.1
BGOGBRGBRGBRBR,5110.6,2212.2
GBGOBBBGGGBGBG,2455.8,3320.4
RROGRBOGGBROGR,1146.9,3175.7
OOOOBOOORBRBOR,1788.7,4729.5
BROBRRRGBGOBGO,4273.6,4095.6
GBROGRGOOOBBOB,1314.5,3357.5
RBORRBORBBBBRB,4523.5,3852
BRBBNGRGRROOOR,1868.6,4613.4
RBGOGRGBROOBBG,1724.4,3003.4
GBRORGBBRORRBR,3975.4,2843.9
BGOGOORGRORRRB,829.74,4185.9
BRONGOBGRGBGOG,2986.4,3250.1
RBBGBRGGGROOBO,1849.9,4156.1
GBBGORGRRBGBBB,1451.9,3162.5
ROGOOGBOROOGOO,1766.6,3289.6
RGOBGGOGGROGGB,1932.5,4611.7
RBRGROBRROOGOO,3864.4,5449.1
RORBBOGBGBOROB,1887.8,4642.2
BGGBORGOORBRRO,1895.6,4921.2
OBGRBGOOROGOOB,3427.5,3110
BOGORRGGRRGGOR,852.55,3537.8
OOOOGGGBRGRBBR,1756.3,3887.9
RGBOOBOBORBORG,1778.4,1394
BRBGOBORRRBBRG,1862.9,4135.7
GGBBOBBOGBRBGB,2134.9,1420.8
BRROBBRRBRRRRR,1902.5,2159.9
RGBBOOBBGBOGGG,4258.5,4086
OOOGGBRORBOGGR,4993.5,2147.1
OOGBBBBRBRRBRR,4063.1,2724.2
RGGBNGGOGBBGGO,1928.3,4791.6
OOGOGRBGRRBRBG,1631.4,2088.1
BRGOBBGRGRBOBO,2493.3,4999.9
ROROGBGBBRBOBR,2205.5,4228
BBGGGOGGBBOORG,1422.4,3578.6
RGGBRBOROOBBRR,2938.2,749.62
GOOBRBGRBRGBBO,4910.5,2118.4
BRRBRRGGOGOOOG,1304.9,3156.2
BBOBOGGBOOORBB,2291.3,3420.9
RGBOGOOGBRRBOO,2369.5,3320.7
BBGBRRBOOGOGGO,3138.1,4415.1
OBBOOGOROGOBBR,3756.9,2867
BRGRBBRBGORORO,3778.7,2988.9
OBBRBOOOGRRRGO,1444.7,3203.2
RGBRRRBOORBOOR,2262.5,1634.5
RORBBGBGRGRGBO,1332.6,2150.2
GRBOBBOGBBRGOB,2953.2,1729.7
GGOGGBOGOBGRBO,1351.8,3562.2
GRBRRBRGRRBGGR,3131.3,1610.5
OOBBBBGOBRBRRB,1969.1,4888.5
OROGRBGBRRRBOB,2976.7,4374.4
RRRBGBBGRGBBBR,2697.3,5117.8
OOBGBBGGGRGRRG,1969.5,4565
GRBOBBBROROGRR,1907.1,4251.2
GRRRRBOOBRGRRO,1918.7,5069.2
GRBOBBGGBBORGB,3640.8,4436.9
BORGBBOGGGGOGR,5264.7,4243.4
BGGBBBOBORROOO,3445.4,1435.1
BRGGGOGROBRORB,1524.2,3042.1
RGGBBGGGRGRBBG,2606.8,4257.6
RRGRGROROOOORO,4314.5,4103.3
OBOGBGGROBGGBB,1057.7,834.75
BRRGRROBOBOBBO,2256.8,3517.4
OGRBOOGGROBGBO,957.06,2919.2
OGORGGBBOBRRRR,2619.6,5024.5
OGBBBGBRBBBGRO,4931.8,3299.1
OOBOROBRBROGGG,1981.1,4670.1
RROOGOGORBORBO,1820.1,4423.3
BBBGOGBRRGRBRB,3007.8,3477.6
BOGGROOBROGBRB,2171,4220.1
OOBOORGRBRROOG,3824.7,2728
OBBOOOGORBRBBR,4944.1,3183.4
RGRGOGBGGROOGB,3083.4,1646.1
ROGGGBOOGBBBBO,1883.7,4611.8
OBGOOGBBRRRGBR,4369.3,4009.6
BGORGGOORGOORR,3961.6,4767.2
BBOOORRGGOROGG,1709.3,1502.6
BGRBRBGOOORORG,5153.5,2518.1
BGRGOOGOGOORBO,3674.3,4378
BRRBGOGOOORROB,1417.1,3173.4
BROBBBGBROOOOR,1188.2,4910.3
BOOORGOGOOGBRB,2775.8,3279.6
ROOOGBROGBBRGO,5239.6,2410.7
BBGRGROGBOBOGB,3930,2904.6
GRBOBBGGGROROG,4822.1,3457.1
OBOBGBGGBOBOBR,2644.8,3301.5
RBORGGOOGOGGOO,1779.7,3851.5
ROOGBGRRBBGGGO,5177.6,2577.7
RRBGBGORGRBBBB,4541.1,5175.3
BBBGBROOGOOOOR,1340.7,4025.1
OOGBRRROOGGGGO,2661.2,4335.6
BOBRRBRBGGORBO,2860.7,1505.6
ROROBOROROOROG,5162.6,2198.9
GBGRGGBRBBGRRR,3849.3,4339
OOBOOBGOOOGRRO,1926,5119.2
OOGRBBBOOGRROG,4408.4,3950.6
OBBBRRBRGORRRO,2128.9,1374.8
BBGGOOGBRRRBGR,1485,3926.9
BGBRGGOBORROBG,4902.5,2130.6
RRGOGRROGBOOBO,1967.7,4721.8
OGBOBBBRRRBGBB,4950.6,2219.5
BGBBOBRGRGOBRG,2932.6,3434.4
OOBOBRRRORRORO,4024,3006.1
BOROGBOGORROBO,4831,3403.8
BGROGGBGRROGGB,2471.7,3496.8
GRGRORGOOORRGR,4426.4,4006.1
GGOBRBBOBROGRO,1181.9,3517.7
OORGOOGBRRORGB,1542.7,3679.1
