,phenotype
702,type1
703,type2
704,type2
705,type1
706,type2
707,type2
708,type1
709,type1
710,type2
711,type1
712,type2
713,type2
714,type2
715,type1
716,type2
717,type1
718,type2
719,type2
720,type2
721,type2
722,type2
723,type1
724,type1
725,type1
726,type2
727,type2
728,type2
729,type2
730,type1
731,type2
732,type1
733,type2
734,type1
735,type2
736,type1
737,type2
738,type1
739,type1
740,type1
741,type2
742,type2
743,type1
744,type1
745,type2
746,type1
747,type2
748,type2
749,type1
750,type1
751,type2
752,type2
753,type1
754,type2
755,type1
756,type1
757,type2
758,type2
759,type1
760,type2
761,type2
762,type2
763,type1
764,type2
765,type1
766,type1
767,type1
768,type1
769,type2
770,type1
771,type1
772,type2
773,type1
774,type2
775,type2
776,type2
777,type1
778,type2
779,type1
780,type2
781,type1
782,type1
783,type1
784,type1
785,type2
786,type2
787,type2
788,type1
789,type1
790,type1
791,type1
792,type1
793,type1
794,type1
795,type1
796,type2
797,type1
798,type2
799,type1
800,type1
801,type1
802,type1
803,type2
804,type2
805,type1
806,type1
807,type2
808,type2
809,type1
810,type2
811,type1
812,type1
813,type2
814,type1
815,type1
816,type1
817,type1
818,type1
819,type1
820,type2
821,type1
822,type2
823,type2
824,type2
825,type2
826,type2
827,type1
828,type1
829,type1
830,type1
831,type2
832,type2
833,type2
834,type2
835,type1
836,type1
837,type1
838,type1
839,type2
840,type1
841,type2
842,type2
843,type2
844,type1
845,type1
846,type2
847,type1
848,type2
849,type1
850,type2
851,type2
852,type1
853,type2
854,type2
855,type1
856,type2
857,type1
858,type2
859,type1
860,type2
861,type2
862,type2
863,type1
864,type1
865,type1
866,type1
867,type1
868,type2
869,type1
870,type1
871,type1
872,type2
873,type1
874,type1
875,type2
876,type1
877,type2
878,type1
879,type2
880,type1
881,type1
882,type2
883,type2
884,type2
885,type1
886,type1
887,type2
888,type1
889,type1
890,type2
891,type1
892,type1
893,type2
894,type1
895,type1
896,type1
897,type1
898,type1
899,type2
900,type2
901,type1
902,type2
903,type2
904,type1
905,type2
906,type1
907,type2
908,type1
909,type2
910,type2
911,type1
912,type2
913,type2
914,type2
915,type2
916,type1
917,type2
918,type1
919,type1
920,type1
921,type1
922,type2
923,type2
924,type2
925,type2
926,type2
927,type2
928,type1
929,type2
930,type2
931,type2
932,type2
933,type2
934,type2
935,type2
936,type1
937,type1
938,type1
939,type2
940,type1
941,type2
942,type1
943,type1
944,type1
945,type2
946,type1
947,type1
948,type2
949,type2
950,type1
951,type2
952,type1
953,type2
954,type1
955,type2
956,type2
957,type2
958,type1
959,type1
960,type2
961,type2
962,type2
963,type1
964,type2
965,type1
966,type1
967,type1
968,type1
969,type1
970,type2
971,type2
972,type1
973,type1
974,type2
975,type2
976,type2
977,type2
978,type2
979,type2
980,type2
981,type2
982,type2
983,type2
984,type2
985,type2
986,type2
987,type2
988,type2
989,type2
990,type1
991,type1
992,type2
993,type2
994,type1
995,type2
996,type2
997,type1
998,type1
999,type1
1000,type2
1001,type2
1002,type2
1003,type2
1004,type2
1005,type2
1006,type2
1007,type2
1008,type2
1009,type2
1010,type2
1011,type2
1012,type2
1013,type2
1014,type2
1015,type2
1016,type2
1017,type2
1018,type2
1019,type2
1020,type2
1021,type2
1022,type2
1023,type2
1024,type2
1025,type2
1026,type2
1027,type2
1028,type2
1029,type2
1030,type2
1031,type2
1032,type2
1033,type2
1034,type2
1035,type2
1036,type2
1037,type2
1038,type2
1039,type2
1040,type2
1041,type2
1042,type2
1043,type2
1044,type2
1045,type2
1046,type2
1047,type2
1048,type2
1049,type2
1050,type2
1051,type2
1052,type2
1053,type2
1054,type2
1055,type2
1056,type2
1057,type2
1058,type2
1059,type2
1060,type2
1061,type2
1062,type2
1063,type2
1064,type2
1065,type2
1066,type2
1067,type2
1068,type2
1069,type2
1070,type2
1071,type2
1072,type2
1073,type2
1074,type2
1075,type2
1076,type2
1077,type2
1078,type2
1079,type2
1080,type2
1081,type2
1082,type2
1083,type2
1084,type2
1085,type2
1086,type2
1087,type2
1088,type2
1089,type2
1090,type2
1091,type2
1092,type2
1093,type2
1094,type2
1095,type2
1096,type2
1097,type2
1098,type2
1099,type2
1100,type2
1101,type2
1102,type2
1103,type2
1104,type2
1105,type2
1106,type2
1107,type2
1108,type2
1109,type2
1110,type2
1111,type2
1112,type2
1113,type2
1114,type2
1115,type2
1116,type2
1117,type2
1118,type2
1119,type2
1120,type2
1121,type2
1122,type2
1123,type2
1124,type2
1125,type2
1126,type2
1127,type2
1128,type2
1129,type2
1130,type2
1131,type2
1132,type2
1133,type2
1134,type2
1135,type2
1136,type2
1137,type2
1138,type2
1139,type2
1140,type2
1141,type2
1142,type2
1143,type2
1144,type2
1145,type2
1146,type2
1147,type2
1148,type2
1149,type2
1150,type2
1151,type2
1152,type2
1153,type2
1154,type2
1155,type2
1156,type2
1157,type2
1158,type2
1159,type2
1160,type2
1161,type2
1162,type2
1163,type2
1164,type2
1165,type2
1166,type2
1167,type2
1168,type2
1169,type2
1170,type2
1171,type2
1172,type2
1173,type2
1174,type2
1175,type2
1176,type2
1177,type2
1178,type2
1179,type2
1180,type2
1181,type2
1182,type2
1183,type2
1184,type2
1185,type2
1186,type2
1187,type2
1188,type2
1189,type2
1190,type2
1191,type2
1192,type2
1193,type2
1194,type2
1195,type2
1196,type2
1197,type2
1198,type2
1199,type2
1200,type2
1201,type2
1202,type2
1203,type2
1204,type2
1205,type2
1206,type2
1207,type2
1208,type2
1209,type2
1210,type2
1211,type2
1212,type2
1213,type2
1214,type2
1215,type2
1216,type2
1217,type2
1218,type2
1219,type2
1220,type2
1221,type2
1222,type2
1223,type2
1224,type2
1225,type2
1226,type2
1227,type2
1228,type2
1229,type2
1230,type2
1231,type2
1232,type2
1233,type2
1234,type2
1235,type2
1236,type2
1237,type2
1238,type2
1239,type2
1240,type2
1241,type2
1242,type2
1243,type2
1244,type2
1245,type2
1246,type2
1247,type2
1248,type2
1249,type2
1250,type2
1251,type2
1252,type2
1253,type2
1254,type2
1255,type2
1256,type2
1257,type2
1258,type2
1259,type2
1260,type2
1261,type2
1262,type2
1263,type2
1264,type2
1265,type2
1266,type2
1267,type2
1268,type2
1269,type2
1270,type2
1271,type2
1272,type2
1273,type2
1274,type2
1275,type2
1276,type2
1277,type2
1278,type2
1279,type2
1280,type2
1281,type2
1282,type2
1283,type2
1284,type2
1285,type2
1286,type2
1287,type2
1288,type2
1289,type2
1290,type2
1291,type2
1292,type2
1293,type2
1294,type2
1295,type2
1296,type2
1297,type2
1298,type2
1299,type2
1300,type2
1301,type2
1302,type2
1303,type2
1304,type2
1305,type2
1306,type2
1307,type2
1308,type2
1309,type2
1310,type2
1311,type2
1312,type2
1313,type2
1314,type2
1315,type2
1316,type2
1317,type2
1318,type2
1319,type2
1320,type2
1321,type2
1322,type2
1323,type2
1324,type2
1325,type2
1326,type2
1327,type2
1328,type2
1329,type2
1330,type2
1331,type2
1332,type2
1333,type2
1334,type2
1335,type2
1336,type2
1337,type2
1338,type2
1339,type2
1340,type2
1341,type2
1342,type2
1343,type2
1344,type2
1345,type2
1346,type2
1347,type2
1348,type2
1349,type2
1350,type2
1351,type2
1352,type2
1353,type2
1354,type2
1355,type2
1356,type2
1357,type2
1358,type2
1359,type2
1360,type2
1361,type2
1362,type2
1363,type2
1364,type2
1365,type2
1366,type2
1367,type2
1368,type2
1369,type2
1370,type2
1371,type2
1372,type2
1373,type2
1374,type2
1375,type2
1376,type2
1377,type2
1378,type2
1379,type2
1380,type2
1381,type2
1382,type2
1383,type2
1384,type2
1385,type2
1386,type2
1387,type2
1388,type2
1389,type2
1390,type2
1391,type2
1392,type2
1393,type2
1394,type2
1395,type2
1396,type2
1397,type2
1398,type2
1399,type2
1400,type2
1401,type2
1402,type2
1403,type2
1404,type2
1405,type2
1406,type2
1407,type2
1408,type2
1409,type2
1410,type2
1411,type2
1412,type2
1413,type2
1414,type2
1415,type2
1416,type2
1417,type2
1418,type2
1419,type2
1420,type2
1421,type2
1422,type2
1423,type2
1424,type2
1425,type2
1426,type2
1427,type2
1428,type2
1429,type2
1430,type2
1431,type2
1432,type2
1433,type2
1434,type2
1435,type2
1436,type2
1437,type2
1438,type2
1439,type2
1440,type2
1441,type2
1442,type2
1443,type2
1444,type2
1445,type2
1446,type2
1447,type2
1448,type2
1449,type2
1450,type2
1451,type2
1452,type2
1453,type2
1454,type2
1455,type2
1456,type2
1457,type2
1458,type2
1459,type2
1460,type2
1461,type2
1462,type2
1463,type2
1464,type2
1465,type2
1466,type2
1467,type2
1468,type2
1469,type2
1470,type2
1471,type2
1472,type2
1473,type2
1474,type2
1475,type2
1476,type2
1477,type2
1478,type2
1479,type2
1480,type2
1481,type2
1482,type2
1483,type2
1484,type2
1485,type2
1486,type2
1487,type2
1488,type2
1489,type2
1490,type2
1491,type2
1492,type2
1493,type2
1494,type2
1495,type2
1496,type2
1497,type2
1498,type2
1499,type2
