x,y,phenotype,niche,A,B,C,D,patient,A,B,C,D
-28.242255896282387,-38.53546508748144,A,A,1,0,0,0,1,1,0,0,0
5.310816427236389,3.862970619922706,A,A,1,0,0,0,1,1,0,0,0
0.7843878127775241,7.832431265570804,A,A,1,0,0,0,1,1,0,0,0
46.25739742180548,18.38211725993081,A,A,1,0,0,0,1,1,0,0,0
-9.445210971697591,-19.577039965460152,A,A,1,0,0,0,1,1,0,0,0
15.652109858126828,55.59886492190736,A,A,1,0,0,0,1,1,0,0,0
-30.668448551553738,-20.26569507101162,A,A,1,0,0,0,1,1,0,0,0
32.04346698393344,3.7866466821483016,A,A,1,0,0,0,1,1,0,0,0
-3.5585445987209567,-7.666349983414662,A,A,1,0,0,0,1,1,0,0,0
43.873049528316585,-1.217485447919188,A,A,1,0,0,0,1,1,0,0,0
-3.466239863607157,59.67103930345408,A,A,1,0,0,0,1,1,0,0,0
27.703184765330093,-14.42710250548825,A,A,1,0,0,0,1,1,0,0,0
11.899283157362916,35.8176574142292,A,A,1,0,0,0,1,1,0,0,0
-11.409693484788328,-31.856951949728547,A,A,1,0,0,0,1,1,0,0,0
-28.19956338591718,8.918694447390997,A,A,1,0,0,0,1,1,0,0,0
47.81710263912497,27.33849198563473,A,A,1,0,0,0,1,1,0,0,0
27.98535093296581,17.925366896221753,A,A,1,0,0,0,1,1,0,0,0
40.75553574484627,-27.287343534082176,A,A,1,0,0,0,1,1,0,0,0
36.13383722064914,33.96707988615289,A,A,1,0,0,0,1,1,0,0,0
58.153640034209474,-5.239278117781474,B,B,0,1,0,0,1,0,1,0,0
-7.409599782358875,5.696456146698552,B,B,0,1,0,0,1,0,1,0,0
31.42768821001445,50.47491734750808,B,B,0,1,0,0,1,0,1,0,0
45.59327238710267,-39.33723578694445,B,B,0,1,0,0,1,0,1,0,0
-28.181375447239773,-19.87785356488166,B,B,0,1,0,0,1,0,1,0,0
17.17398652617093,36.10163525163564,B,B,0,1,0,0,1,0,1,0,0
19.96101809964803,13.416766762458778,B,B,0,1,0,0,1,0,1,0,0
-40.513447636856014,-6.706524225760511,B,B,0,1,0,0,1,0,1,0,0
28.965034534028906,30.88155368853498,B,B,0,1,0,0,1,0,1,0,0
58.18177807491048,-25.842583178267496,B,B,0,1,0,0,1,0,1,0,0
5.244571223468611,26.98606146417657,B,B,0,1,0,0,1,0,1,0,0
4.341815704821762,39.83712436251017,B,B,0,1,0,0,1,0,1,0,0
-0.4787769468823413,-16.487536402273705,B,B,0,1,0,0,1,0,1,0,0
9.061597371969832,-10.848306750140765,B,B,0,1,0,0,1,0,1,0,0
-2.5410390331384107,48.99914090485814,B,B,0,1,0,0,1,0,1,0,0
-22.754316591828623,30.098277732027,B,B,0,1,0,0,1,0,1,0,0
47.05172786376116,25.90837358974832,B,B,0,1,0,0,1,0,1,0,0
-9.314051245139918,27.820351794986607,B,B,0,1,0,0,1,0,1,0,0
-1.8010049273213866,19.190561441256605,B,B,0,1,0,0,1,0,1,0,0
18.5942097038757,-39.862900296580094,B,B,0,1,0,0,1,0,1,0,0
16.07184031525989,-2.4101101738633304,B,B,0,1,0,0,1,0,1,0,0
5.396399183911328,-9.62910166262366,B,B,0,1,0,0,1,0,1,0,0
48.98652973482058,45.26919280237952,B,B,0,1,0,0,1,0,1,0,0
52.868968111062486,19.0979839585819,B,B,0,1,0,0,1,0,1,0,0
-8.516680558401852,10.848611279090342,B,B,0,1,0,0,1,0,1,0,0
11.15894098200078,47.40880254479471,B,B,0,1,0,0,1,0,1,0,0
36.11857007015574,12.61064677341382,B,B,0,1,0,0,1,0,1,0,0
-31.302033485013204,6.693335942250499,B,B,0,1,0,0,1,0,1,0,0
28.664870665064853,26.00013808180499,B,B,0,1,0,0,1,0,1,0,0
-10.468406772325388,-8.57856966626732,B,B,0,1,0,0,1,0,1,0,0
58.61652088085097,-39.66944490512857,B,B,0,1,0,0,1,0,1,0,0
-27.242255896282387,-38.53546508748144,B,B,0,1,0,0,1,0,1,0,0
6.310816427236389,3.862970619922706,B,B,0,1,0,0,1,0,1,0,0
1.784387812777524,7.832431265570804,B,B,0,1,0,0,1,0,1,0,0
45.25739742180548,18.38211725993081,B,B,0,1,0,0,1,0,1,0,0
-10.445210971697591,-19.577039965460152,B,B,0,1,0,0,1,0,1,0,0
16.652109858126828,55.59886492190736,B,B,0,1,0,0,1,0,1,0,0
-29.668448551553738,-20.26569507101162,B,B,0,1,0,0,1,0,1,0,0
31.04346698393344,3.7866466821483016,B,B,0,1,0,0,1,0,1,0,0
-4.558544598720957,-7.666349983414662,B,B,0,1,0,0,1,0,1,0,0
44.873049528316585,-1.217485447919188,B,B,0,1,0,0,1,0,1,0,0
-2.466239863607157,59.67103930345408,B,B,0,1,0,0,1,0,1,0,0
26.703184765330093,-14.42710250548825,B,B,0,1,0,0,1,0,1,0,0
10.899283157362916,35.8176574142292,B,B,0,1,0,0,1,0,1,0,0
-12.409693484788328,-31.856951949728547,B,B,0,1,0,0,1,0,1,0,0
-29.19956338591718,8.918694447390997,B,B,0,1,0,0,1,0,1,0,0
46.81710263912497,27.33849198563473,B,B,0,1,0,0,1,0,1,0,0
26.98535093296581,17.925366896221753,B,B,0,1,0,0,1,0,1,0,0
39.75553574484627,-27.287343534082176,B,B,0,1,0,0,1,0,1,0,0
35.13383722064914,33.96707988615289,B,B,0,1,0,0,1,0,1,0,0
0.9498144278178842,8.120758960720323,C,C,0,0,1,0,1,0,0,1,0
-14.005031973343726,53.18708224614399,C,C,0,0,1,0,1,0,0,1,0
14.942068870777874,9.047176660623023,C,C,0,0,1,0,1,0,0,1,0
43.119328867380574,-29.40470491867605,C,C,0,0,1,0,1,0,0,1,0
58.42356810304399,-35.07829294063578,C,C,0,0,1,0,1,0,0,1,0
9.990713128759149,2.9964477789731774,C,C,0,0,1,0,1,0,0,1,0
42.60650066247607,21.96419283011357,C,C,0,0,1,0,1,0,0,1,0
1.0934207049042826,-27.136522282825894,C,C,0,0,1,0,1,0,0,1,0
24.777833602006552,58.868004950263895,C,C,0,0,1,0,1,0,0,1,0
14.51399524132465,-37.91818716919216,C,C,0,0,1,0,1,0,0,1,0
-4.58893367947416,38.63867430278681,C,C,0,0,1,0,1,0,0,1,0
49.41121629563087,-19.1921599207848,C,C,0,0,1,0,1,0,0,1,0
51.81052148139303,-20.551628288906773,C,C,0,0,1,0,1,0,0,1,0
-39.56304639710927,12.643591317614522,C,C,0,0,1,0,1,0,0,1,0
29.723867933685867,7.312470691957962,C,C,0,0,1,0,1,0,0,1,0
-29.61110713641284,-34.70502475346021,C,C,0,0,1,0,1,0,0,1,0
22.93971454962076,36.8343422859559,C,C,0,0,1,0,1,0,0,1,0
-19.258624078717453,-20.43474655632673,C,C,0,0,1,0,1,0,0,1,0
1.943624307835961,49.53258910272109,C,C,0,0,1,0,1,0,0,1,0
53.57626976755439,13.289394304442425,C,C,0,0,1,0,1,0,0,1,0
48.878820087952136,59.10919202300296,C,C,0,0,1,0,1,0,0,1,0
-25.454865808801827,11.77469673092805,C,C,0,0,1,0,1,0,0,1,0
24.69422349849262,22.439611382740143,C,C,0,0,1,0,1,0,0,1,0
58.25075166510918,18.46909309001072,C,C,0,0,1,0,1,0,0,1,0
-23.15931570767259,-15.609271374618636,C,C,0,0,1,0,1,0,0,1,0
-0.7695347615886163,-23.09666213643172,C,C,0,0,1,0,1,0,0,1,0
-13.384623236692182,2.353545400000449,C,C,0,0,1,0,1,0,0,1,0
53.919957474888434,-16.56350604000538,C,C,0,0,1,0,1,0,0,1,0
38.28437096466413,-17.134606440358546,C,C,0,0,1,0,1,0,0,1,0
57.85489573010983,-33.61824914598045,C,C,0,0,1,0,1,0,0,1,0
5.032275052777784,-8.219504224029926,C,C,0,0,1,0,1,0,0,1,0
33.56685772017451,-6.53267017696087,C,C,0,0,1,0,1,0,0,1,0
32.35696919267711,2.029477722796024,C,C,0,0,1,0,1,0,0,1,0
-26.347677885314237,26.44461769690648,C,C,0,0,1,0,1,0,0,1,0
26.46883924909443,-6.027413096535916,C,C,0,0,1,0,1,0,0,1,0
-15.83307134910504,-32.55195354495207,C,C,0,0,1,0,1,0,0,1,0
-29.18122858949097,-31.90273300478257,C,C,0,0,1,0,1,0,0,1,0
53.99362673697746,-10.18026438991646,C,C,0,0,1,0,1,0,0,1,0
-20.94374125829662,-17.662836423440883,C,C,0,0,1,0,1,0,0,1,0
-2.707415826752957,-37.44444505132304,C,C,0,0,1,0,1,0,0,1,0
51.70208069553596,-39.6314117906604,C,C,0,0,1,0,1,0,0,1,0
-20.26081973977964,40.73259330480136,C,C,0,0,1,0,1,0,0,1,0
7.282738755276746,-26.873560236879925,C,C,0,0,1,0,1,0,0,1,0
-39.74252679233992,36.94029440055715,C,C,0,0,1,0,1,0,0,1,0
-15.186675299683657,-33.887050750266965,C,C,0,0,1,0,1,0,0,1,0
-31.13503487427019,21.63270643583909,C,C,0,0,1,0,1,0,0,1,0
-25.096283197755284,45.84392879598167,C,C,0,0,1,0,1,0,0,1,0
-36.17077010259843,-38.50854528964387,C,C,0,0,1,0,1,0,0,1,0
22.60737528193635,52.59883477093945,C,C,0,0,1,0,1,0,0,1,0
6.082208684624824,14.818656414729084,C,C,0,0,1,0,1,0,0,1,0
1.949814427817884,8.120758960720323,D,D,0,0,0,1,1,0,0,0,1
-15.005031973343726,53.18708224614399,D,D,0,0,0,1,1,0,0,0,1
13.942068870777874,9.047176660623023,D,D,0,0,0,1,1,0,0,0,1
44.119328867380574,-29.40470491867605,D,D,0,0,0,1,1,0,0,0,1
59.42356810304399,-35.07829294063578,D,D,0,0,0,1,1,0,0,0,1
10.990713128759149,2.9964477789731774,D,D,0,0,0,1,1,0,0,0,1
43.60650066247607,21.96419283011357,D,D,0,0,0,1,1,0,0,0,1
2.0934207049042826,-27.136522282825894,D,D,0,0,0,1,1,0,0,0,1
23.777833602006552,58.868004950263895,D,D,0,0,0,1,1,0,0,0,1
15.51399524132465,-37.91818716919216,D,D,0,0,0,1,1,0,0,0,1
-3.5889336794741595,38.63867430278681,D,D,0,0,0,1,1,0,0,0,1
48.41121629563087,-19.1921599207848,D,D,0,0,0,1,1,0,0,0,1
50.81052148139303,-20.551628288906773,D,D,0,0,0,1,1,0,0,0,1
-38.56304639710927,12.643591317614522,D,D,0,0,0,1,1,0,0,0,1
28.723867933685867,7.312470691957962,D,D,0,0,0,1,1,0,0,0,1
-28.61110713641284,-34.70502475346021,D,D,0,0,0,1,1,0,0,0,1
23.93971454962076,36.8343422859559,D,D,0,0,0,1,1,0,0,0,1
-20.258624078717453,-20.43474655632673,D,D,0,0,0,1,1,0,0,0,1
0.943624307835961,49.53258910272109,D,D,0,0,0,1,1,0,0,0,1
54.57626976755439,13.289394304442425,D,D,0,0,0,1,1,0,0,0,1
47.878820087952136,59.10919202300296,D,D,0,0,0,1,1,0,0,0,1
-26.454865808801827,11.77469673092805,D,D,0,0,0,1,1,0,0,0,1
23.69422349849262,22.439611382740143,D,D,0,0,0,1,1,0,0,0,1
59.25075166510918,18.46909309001072,D,D,0,0,0,1,1,0,0,0,1
-24.15931570767259,-15.609271374618636,D,D,0,0,0,1,1,0,0,0,1
-1.7695347615886163,-23.09666213643172,D,D,0,0,0,1,1,0,0,0,1
-12.384623236692182,2.353545400000449,D,D,0,0,0,1,1,0,0,0,1
52.919957474888434,-16.56350604000538,D,D,0,0,0,1,1,0,0,0,1
39.28437096466413,-17.134606440358546,D,D,0,0,0,1,1,0,0,0,1
58.85489573010983,-33.61824914598045,D,D,0,0,0,1,1,0,0,0,1
6.032275052777784,-8.219504224029926,D,D,0,0,0,1,1,0,0,0,1
32.56685772017451,-6.53267017696087,D,D,0,0,0,1,1,0,0,0,1
33.35696919267711,2.029477722796024,D,D,0,0,0,1,1,0,0,0,1
-25.347677885314237,26.44461769690648,D,D,0,0,0,1,1,0,0,0,1
25.46883924909443,-6.027413096535916,D,D,0,0,0,1,1,0,0,0,1
-14.83307134910504,-32.55195354495207,D,D,0,0,0,1,1,0,0,0,1
-28.18122858949097,-31.90273300478257,D,D,0,0,0,1,1,0,0,0,1
52.99362673697746,-10.18026438991646,D,D,0,0,0,1,1,0,0,0,1
-19.94374125829662,-17.662836423440883,D,D,0,0,0,1,1,0,0,0,1
-1.7074158267529569,-37.44444505132304,D,D,0,0,0,1,1,0,0,0,1
50.70208069553596,-39.6314117906604,D,D,0,0,0,1,1,0,0,0,1
-19.26081973977964,40.73259330480136,D,D,0,0,0,1,1,0,0,0,1
8.282738755276746,-26.873560236879925,D,D,0,0,0,1,1,0,0,0,1
-40.74252679233992,36.94029440055715,D,D,0,0,0,1,1,0,0,0,1
-14.186675299683657,-33.887050750266965,D,D,0,0,0,1,1,0,0,0,1
-32.13503487427019,21.63270643583909,D,D,0,0,0,1,1,0,0,0,1
-26.096283197755284,45.84392879598167,D,D,0,0,0,1,1,0,0,0,1
-35.17077010259843,-38.50854528964387,D,D,0,0,0,1,1,0,0,0,1
23.60737528193635,52.59883477093945,D,D,0,0,0,1,1,0,0,0,1
5.082208684624824,14.818656414729084,D,D,0,0,0,1,1,0,0,0,1
