,phenotype
702,type2
703,type2
704,type2
705,type2
706,type2
707,type2
708,type2
709,type2
710,type2
711,type2
712,type2
713,type2
714,type2
715,type2
716,type2
717,type2
718,type2
719,type2
720,type2
721,type2
722,type2
723,type2
724,type2
725,type2
726,type2
727,type2
728,type2
729,type2
730,type2
731,type2
732,type2
733,type2
734,type2
735,type2
736,type2
737,type2
738,type2
739,type2
740,type2
741,type2
742,type2
743,type2
744,type2
745,type2
746,type2
747,type2
748,type2
749,type2
750,type2
751,type2
752,type2
753,type2
754,type2
755,type2
756,type2
757,type2
758,type2
759,type2
760,type2
761,type2
762,type2
763,type2
764,type2
765,type2
766,type2
767,type2
768,type2
769,type2
770,type2
771,type2
772,type2
773,type2
774,type2
775,type2
776,type2
777,type2
778,type2
779,type2
780,type2
781,type2
782,type2
783,type2
784,type2
785,type2
786,type2
787,type2
788,type2
789,type2
790,type2
791,type2
792,type2
793,type2
794,type2
795,type2
796,type2
797,type2
798,type2
799,type2
800,type2
801,type2
802,type2
803,type2
804,type2
805,type2
806,type2
807,type2
808,type2
809,type2
810,type2
811,type2
812,type2
813,type2
814,type2
815,type2
816,type2
817,type2
818,type2
819,type2
820,type2
821,type2
822,type2
823,type2
824,type2
825,type2
826,type2
827,type2
828,type2
829,type2
830,type2
831,type2
832,type2
833,type2
834,type2
835,type2
836,type2
837,type2
838,type2
839,type2
840,type2
841,type2
842,type2
843,type2
844,type2
845,type2
846,type2
847,type2
848,type2
849,type2
850,type2
851,type2
852,type2
853,type2
854,type2
855,type2
856,type2
857,type2
858,type2
859,type2
860,type2
861,type2
862,type2
863,type2
864,type2
865,type2
866,type2
867,type2
868,type2
869,type2
870,type2
871,type2
872,type2
873,type2
874,type2
875,type2
876,type2
877,type2
878,type2
879,type2
880,type2
881,type2
882,type2
883,type2
884,type2
885,type2
886,type2
887,type2
888,type2
889,type2
890,type2
891,type2
892,type2
893,type2
894,type2
895,type2
896,type2
897,type2
898,type2
899,type2
900,type2
901,type2
902,type2
903,type2
904,type2
905,type2
906,type2
907,type2
908,type2
909,type2
910,type2
911,type2
912,type2
913,type2
914,type2
915,type2
916,type2
917,type2
918,type2
919,type2
920,type2
921,type2
922,type2
923,type2
924,type2
925,type2
926,type2
927,type2
928,type2
929,type2
930,type2
931,type2
932,type2
933,type2
934,type2
935,type2
936,type2
937,type2
938,type2
939,type2
940,type2
941,type2
942,type2
943,type2
944,type2
945,type2
946,type2
947,type2
948,type2
949,type2
950,type2
951,type2
952,type2
953,type2
954,type2
955,type2
956,type2
957,type2
958,type2
959,type2
960,type2
961,type2
962,type2
963,type2
964,type2
965,type2
966,type2
967,type2
968,type2
969,type2
970,type2
971,type2
972,type2
973,type2
974,type2
975,type2
976,type2
977,type2
978,type2
979,type2
980,type2
981,type2
982,type2
983,type2
984,type2
985,type2
986,type2
987,type2
988,type2
989,type2
990,type2
991,type2
992,type2
993,type2
994,type2
995,type2
996,type2
997,type2
998,type2
999,type2
