,0,1
412,269,274
413,382,480
414,94,193
415,580,581
416,385,485
417,145,244
418,311,312
419,157,254
420,255,268
421,160,259
422,74,76
423,441,543
424,473,575
425,493,590
426,485,586
427,50,249
428,21,222
429,320,518
430,352,550
431,372,565
432,83,282
433,9,104
434,410,411
435,345,547
436,173,175
437,30,126
438,386,584
439,333,429
440,378,580
441,17,229
442,76,278
443,509,511
444,314,415
445,326,426
446,344,443
447,359,459
448,89,189
449,377,476
450,14,15
451,5,195
452,451,547
453,576,578
454,134,233
455,15,16
456,141,241
457,112,214
458,411,510
459,350,351
460,48,49
461,185,283
462,156,256
463,444,543
464,436,539
465,1,202
466,13,213
467,45,245
468,477,576
469,315,514
470,307,510
471,46,246
472,316,515
473,348,547
474,180,182
475,82,284
476,349,548
477,15,114
478,393,591
479,18,119
480,366,457
481,483,484
482,48,147
483,19,120
484,211,290
485,63,163
486,60,157
487,133,227
488,302,593
489,376,479
490,85,186
491,280,282
492,425,520
493,388,489
494,147,246
495,406,506
496,25,28
497,439,540
498,32,36
499,148,247
500,151,252
501,184,286
502,431,535
503,472,573
504,329,524
505,340,533
506,8,209
507,88,89
508,19,218
509,484,583
510,69,75
511,174,277
512,23,224
513,303,507
514,457,565
515,110,112
516,53,252
517,176,179
518,187,188
519,313,413
520,366,568
521,358,564
522,22,120
523,220,221
524,346,446
525,370,574
526,88,187
527,350,452
528,58,164
529,113,216
530,380,480
531,92,193
532,412,512
533,91,197
534,81,183
535,342,453
536,453,549
537,319,320
538,578,580
539,176,277
540,320,321
541,25,224
542,446,546
543,188,287
544,479,579
545,385,386
546,325,521
547,191,292
548,490,588
549,2,96
550,15,215
551,7,211
552,70,267
553,117,119
554,437,438
555,120,124
556,440,443
557,92,291
558,362,560
559,150,152
560,306,399
561,319,418
562,58,154
563,302,514
564,255,290
565,309,410
566,215,217
567,320,419
568,39,140
569,83,183
570,2,109
571,397,495
572,43,146
573,116,216
574,135,229
575,201,211
576,375,476
577,127,225
578,386,485
579,17,130
580,117,217
581,3,195
582,109,213
583,128,226
584,408,509
585,314,316
586,573,576
587,34,39
588,419,518
589,326,327
590,24,25
591,36,228
592,56,57
593,161,259
594,7,201
595,441,542
596,464,562
597,577,582
598,89,90
599,309,508
600,21,221
601,482,579
602,348,350
603,312,513
604,445,548
605,497,595
606,10,211
607,321,518
608,141,142
609,324,523
610,112,115
611,84,282
612,302,504
613,301,396
614,346,547
615,426,427
616,357,556
617,23,122
618,76,277
619,47,250
620,88,288
621,459,460
622,24,123
623,105,197
624,35,132
625,80,283
626,372,577
627,359,458
628,338,435
629,46,147
630,543,544
631,481,483
632,319,421
633,90,189
634,349,449
635,393,492
636,547,550
637,558,559
638,432,568
639,444,542
640,63,64
641,415,515
642,41,45
643,459,558
644,178,279
645,138,243
646,16,217
647,189,288
648,149,252
649,160,261
650,46,245
651,373,374
652,481,581
653,6,208
654,107,111
655,406,407
656,118,120
657,50,251
658,309,511
659,61,260
660,352,552
661,443,447
662,353,553
663,300,398
664,8,110
665,72,274
666,63,162
667,196,197
668,87,290
669,322,422
670,386,586
671,333,431
672,41,143
673,20,120
674,52,152
675,31,129
676,76,280
677,303,408
678,363,459
679,520,522
680,45,149
681,159,256
682,118,218
683,25,27
684,572,574
685,377,478
686,130,229
687,89,191
688,348,451
689,575,579
690,410,511
691,163,262
692,59,61
693,144,248
694,411,512
695,476,578
696,77,78
697,333,529
698,60,254
699,380,381
700,185,285
701,158,268
702,311,510
703,351,354
704,444,545
705,496,592
706,314,515
707,488,588
708,53,251
709,413,414
710,125,127
711,24,224
712,56,256
713,477,578
714,143,144
715,57,257
716,4,102
717,329,536
718,302,582
719,389,587
720,317,418
721,461,462
722,55,152
723,59,159
724,347,446
725,512,513
726,48,149
727,339,441
728,92,192
729,391,488
730,545,546
731,351,452
732,195,204
733,279,283
734,125,225
735,155,253
736,114,215
737,373,475
738,579,580
739,425,522
740,409,514
741,582,585
742,342,344
743,54,57
744,191,291
745,324,326
746,43,47
747,148,249
748,375,377
749,329,526
750,3,96
751,340,535
752,48,247
753,454,557
754,27,224
755,88,91
756,322,523
757,150,151
758,333,532
759,41,244
760,153,156
761,303,509
762,423,425
763,110,114
764,395,592
765,74,277
766,21,122
767,85,286
768,373,573
769,54,155
770,187,190
771,44,141
772,324,424
773,3,109
774,249,250
775,508,510
776,354,452
777,409,504
778,128,225
779,99,198
780,347,449
781,283,284
782,121,222
783,132,231
784,423,523
785,342,455
786,165,264
787,79,81
788,468,567
789,268,276
790,61,63
791,155,256
792,321,517
793,52,243
794,198,297
795,457,557
796,112,114
797,382,383
798,66,263
799,47,249
800,375,380
801,415,416
802,387,583
803,59,260
804,347,547
805,70,269
806,28,128
807,68,164
808,470,473
809,212,214
810,183,187
811,320,421
812,382,481
813,515,516
814,19,20
815,397,497
816,308,568
817,375,478
818,581,583
819,430,530
820,117,219
821,128,228
822,160,260
823,355,356
824,460,558
825,53,54
826,150,252
827,161,261
828,172,270
829,58,254
830,309,510
831,482,581
832,474,577
833,10,213
834,62,260
835,54,256
836,397,595
837,144,149
838,87,289
839,357,558
840,185,186
841,31,128
842,23,124
843,444,446
844,326,427
845,13,116
846,58,267
847,218,219
848,24,125
849,251,253
850,323,421
851,35,134
852,315,417
853,243,248
854,0,298
855,554,555
856,134,234
857,555,556
858,393,494
859,112,215
860,411,511
861,123,224
862,48,50
863,92,93
864,310,315
865,444,544
866,326,525
867,305,502
868,186,285
869,456,554
870,46,247
871,57,256
872,316,516
873,327,525
874,79,280
875,159,160
876,439,443
877,360,558
878,352,554
879,26,124
880,192,193
881,102,299
882,225,226
883,484,486
884,330,428
885,516,518
886,214,216
887,52,154
888,258,259
889,207,213
890,137,234
891,425,521
892,291,292
893,550,552
894,388,490
895,86,188
896,418,518
897,461,559
898,22,23
899,119,221
900,192,291
901,163,264
902,451,551
903,181,281
904,19,219
905,152,254
906,322,522
907,301,499
908,48,53
909,53,253
910,0,98
911,413,416
912,388,588
913,359,561
914,25,127
915,377,578
916,89,291
917,303,400
918,22,121
919,34,132
920,188,190
921,66,164
922,479,482
923,490,491
924,336,433
925,15,118
926,420,432
927,18,123
928,358,457
929,77,178
930,556,558
931,301,597
932,286,288
933,399,494
934,391,490
935,351,454
936,362,463
937,28,29
938,133,231
939,392,491
940,395,496
941,50,53
942,29,30
943,61,62
944,166,264
945,177,273
946,417,520
947,94,95
948,37,235
949,450,553
950,469,566
951,461,562
952,127,128
953,354,356
954,386,388
955,318,519
956,335,342
957,128,129
958,181,284
959,387,389
960,92,292
961,30,231
962,310,514
963,362,561
964,81,282
965,60,259
966,384,585
967,395,594
968,93,292
969,194,195
970,453,455
971,372,467
972,102,197
973,321,421
974,507,511
975,486,488
976,332,430
977,324,426
978,376,473
979,519,521
980,511,517
981,117,218
982,300,599
983,55,157
984,96,195
985,88,191
986,261,262
987,293,294
988,387,487
989,552,554
990,504,514
991,315,318
992,132,233
993,183,284
994,0,199
995,173,270
996,327,328
997,165,266
998,497,596
999,468,569
1000,135,243
1001,33,232
1002,360,361
1003,486,586
1004,44,241
1005,91,93
1006,123,125
1007,22,222
1008,411,412
1009,66,265
1010,124,126
1011,96,293
1012,32,128
1013,390,590
1014,48,252
1015,391,591
1016,338,436
1017,109,204
1018,481,484
1019,525,527
1020,58,158
1021,69,167
1022,223,225
1023,349,450
1024,101,199
1025,547,551
1026,526,528
1027,372,470
1028,91,191
1029,83,187
1030,536,541
1031,361,460
1032,397,499
1033,84,188
1034,569,574
1035,415,516
1036,386,489
1037,592,594
1038,157,257
1039,355,358
1040,160,262
1041,448,549
1042,161,263
1043,493,593
1044,366,372
1045,418,419
1046,482,583
1047,421,424
1048,331,530
1049,399,405
1050,163,165
1051,451,452
1052,62,262
1053,443,448
1054,361,558
1055,300,399
1056,454,457
1057,433,434
1058,42,140
1059,484,485
1060,330,427
1061,322,423
1062,301,400
1063,466,467
1064,20,121
1065,311,413
1066,23,126
1067,517,518
1068,363,460
1069,334,433
1070,390,593
1071,64,163
1072,262,264
1073,550,551
1074,521,524
1075,57,160
1076,263,265
1077,356,456
1078,109,207
1079,348,452
1080,87,268
1081,201,290
1082,440,535
1083,119,220
1084,111,216
1085,37,38
1086,90,193
1087,9,205
1088,182,276
1089,142,240
1090,296,298
1091,422,523
1092,101,202
1093,587,590
1094,306,311
1095,347,349
1096,70,71
1097,196,296
1098,426,529
1099,20,219
1100,164,263
1101,2,201
1102,351,355
1103,444,546
1104,362,364
1105,13,216
1106,500,599
1107,155,156
1108,359,560
1109,492,595
1110,338,537
1111,12,107
1112,97,294
1113,4,103
1114,182,289
1115,316,518
1116,68,267
1117,327,527
1118,400,597
1119,371,570
1120,79,282
1121,90,291
1122,170,171
1123,26,126
1124,91,292
1125,382,584
1126,94,297
1127,30,132
1128,333,435
1129,539,540
1130,133,230
1131,311,416
1132,546,548
1133,392,490
1134,104,203
1135,363,463
1136,395,495
1137,93,193
1138,137,236
1139,177,272
1140,579,581
1141,417,519
1142,396,496
1143,321,322
1144,159,260
1145,450,552
1146,51,52
1147,583,587
1148,84,86
1149,429,529
1150,421,525
1151,302,308
1152,66,68
1153,354,355
1154,38,235
1155,491,589
1156,462,562
1157,340,536
1158,99,101
1159,30,230
1160,42,241
1161,196,299
1162,495,595
1163,60,258
1164,52,254
1165,132,134
1166,158,272
1167,423,426
1168,363,561
1169,355,557
1170,154,158
1171,0,100
1172,165,167
1173,453,454
1174,63,156
1175,435,436
1176,44,142
1177,486,487
1178,4,106
1179,66,166
1180,519,520
1181,365,462
1182,242,248
1183,88,190
1184,18,125
1185,99,199
1186,552,553
1187,369,468
1188,283,285
1189,100,200
1190,391,492
1191,431,528
1192,402,501
1193,144,242
1194,424,525
1195,195,293
1196,166,266
1197,393,394
1198,425,526
1199,353,357
1200,325,524
1201,490,591
1202,55,254
1203,26,227
1204,18,223
1205,358,557
1206,318,521
1207,430,433
1208,100,298
1209,28,129
1210,81,284
1211,172,173
1212,392,591
1213,61,162
1214,194,197
1215,453,457
1216,497,500
1217,91,190
1218,62,163
1219,227,230
1220,73,172
1221,84,187
1222,257,258
1223,95,196
1224,354,456
1225,365,465
1226,20,22
1227,560,561
1228,357,461
1229,584,589
1230,563,566
1231,23,27
1232,117,220
1233,180,276
1234,139,238
1235,398,498
1236,37,227
1237,53,55
1238,169,266
1239,323,324
1240,493,592
1241,359,363
1242,51,130
1243,68,70
1244,21,224
1245,194,295
1246,497,598
1247,308,582
1248,54,257
1249,33,234
1250,134,137
1251,486,588
1252,332,530
1253,384,577
1254,74,271
1255,354,554
1256,455,457
1257,357,559
1258,55,257
1259,488,490
1260,387,587
1261,398,596
1262,358,560
1263,230,231
1264,323,422
1265,489,491
1266,87,182
1267,367,465
1268,57,159
1269,190,194
1270,263,264
1271,68,168
1272,335,432
1273,368,466
1274,327,428
1275,371,471
1276,90,192
1277,69,169
1278,296,297
1279,360,461
1280,297,298
1281,94,198
1282,474,568
1283,27,28
1284,397,501
1285,289,293
1286,330,331
1287,179,278
1288,467,565
1289,305,503
1290,186,286
1291,32,228
1292,197,295
1293,456,555
1294,489,589
1295,395,396
1296,500,598
1297,492,594
1298,93,94
1299,316,517
1300,349,550
1301,328,527
1302,455,568
1303,360,559
1304,94,296
1305,300,401
1306,353,556
1307,27,126
1308,364,565
1309,30,131
1310,130,255
1311,484,487
1312,196,200
1313,386,589
1314,226,228
1315,104,202
1316,75,175
1317,517,520
1318,499,502
1319,259,261
1320,64,165
1321,344,448
1322,396,495
1323,108,208
1324,367,468
1325,378,477
1326,356,458
1327,389,492
1328,429,528
1329,34,35
1330,66,67
1331,17,211
1332,595,596
1333,196,298
1334,175,275
1335,495,594
1336,100,101
1337,132,133
1338,391,393
1339,384,390
1340,35,236
1341,323,523
1342,315,519
1343,367,566
1344,378,575
1345,86,287
1346,65,264
1347,76,273
1348,302,585
1349,389,590
1350,319,525
1351,34,133
1352,98,297
1353,325,425
1354,304,402
1355,336,434
1356,307,407
1357,67,166
1358,221,224
1359,203,206
1360,340,440
1361,233,234
1362,524,526
1363,82,181
1364,182,268
1365,402,500
1366,112,209
1367,104,205
1368,269,272
1369,115,214
1370,122,222
1371,12,207
1372,4,203
1373,137,238
1374,331,332
1375,590,592
1376,10,17
1377,436,534
1378,167,266
1379,458,558
1380,315,509
1381,200,299
1382,494,596
1383,398,399
1384,330,530
1385,341,539
1386,129,131
1387,205,206
1388,363,563
1389,374,572
1390,29,129
1391,53,257
1392,344,549
1393,62,162
1394,41,139
1395,195,197
1396,73,171
1397,321,422
1398,66,168
1399,260,262
1400,365,464
1401,272,273
1402,417,511
1403,336,437
1404,2,3
1405,261,263
1406,387,488
1407,139,237
1408,552,555
1409,439,535
1410,596,598
1411,553,556
1412,402,503
1413,475,573
1414,133,235
1415,173,271
1416,195,295
1417,328,330
1418,33,233
1419,4,206
1420,404,405
1421,303,502
1422,102,103
1423,1,200
1424,325,526
1425,426,429
1426,405,406
1427,96,294
1428,18,225
1429,168,169
1430,489,490
1431,399,596
1432,492,495
1433,327,427
1434,493,496
1435,350,447
1436,223,226
1437,40,141
1438,328,428
1439,267,269
1440,537,538
1441,361,461
1442,570,571
1443,103,202
1444,42,43
1445,394,494
1446,301,303
1447,179,277
1448,31,33
1449,157,258
1450,120,227
1451,139,240
1452,334,336
1453,439,538
1454,442,543
1455,420,524
1456,367,369
1457,431,533
1458,472,571
1459,464,567
1460,475,576
1461,331,531
1462,119,123
1463,343,542
1464,332,532
1465,6,102
1466,364,564
1467,376,575
1468,84,287
1469,95,296
1470,175,176
1471,185,189
1472,31,131
1473,208,209
1474,488,492
1475,334,434
1476,499,501
1477,345,443
1478,35,137
1479,323,424
1480,346,444
1481,532,534
1482,4,6
1483,408,504
1484,533,535
1485,98,198
1486,153,250
1487,267,272
1488,404,506
1489,504,593
1490,70,72
1491,463,561
1492,146,247
1493,27,30
1494,466,566
1495,63,69
1496,176,275
1497,342,536
1498,305,505
1499,186,288
1500,51,243
1501,392,393
1502,168,270
1503,374,375
1504,338,538
1505,57,259
1506,17,223
1507,425,426
1508,137,139
1509,493,597
1510,371,571
1511,458,459
1512,482,587
1513,307,406
1514,401,599
1515,393,595
1516,203,205
1517,342,549
1518,462,465
1519,319,416
1520,63,167
1521,236,238
1522,394,595
1523,333,436
1524,506,507
1525,60,161
1526,237,239
1527,517,522
1528,64,167
1529,137,237
1530,156,250
1531,108,210
1532,407,506
1533,126,227
1534,33,36
1535,321,323
1536,366,474
1537,170,270
1538,201,294
1539,200,298
1540,432,455
1541,17,213
1542,462,563
1543,358,362
1544,301,502
1545,333,534
1546,39,236
1547,31,232
1548,130,211
1549,329,420
1550,496,597
1551,162,163
1552,0,101
1553,11,110
1554,86,289
1555,12,111
1556,425,429
1557,68,271
1558,389,592
1559,314,412
1560,22,124
1561,1,101
1562,228,229
1563,45,144
1564,105,195
1565,304,404
1566,531,532
1567,336,436
1568,67,168
1569,107,204
1570,138,228
1571,337,437
1572,369,469
1573,564,565
1574,119,214
1575,553,555
1576,111,210
1577,443,540
1578,362,466
1579,454,549
1580,392,494
1581,586,588
1582,58,60
1583,435,535
1584,122,224
1585,302,420
1586,174,271
1587,177,276
1588,465,563
1589,343,345
1590,126,230
1591,73,75
1592,498,596
1593,16,215
1594,477,573
1595,458,560
1596,315,511
1597,67,266
1598,427,428
1599,460,462
1600,82,281
1601,26,120
1602,18,116
1603,374,574
1604,29,131
1605,310,409
1606,217,218
1607,497,501
1608,44,146
1609,332,433
1610,250,251
1611,51,154
1612,257,259
1613,95,197
1614,74,174
1615,106,206
1616,409,509
1617,136,234
1618,107,207
1619,139,239
1620,439,537
1621,32,33
1622,18,214
1623,184,283
1624,65,66
1625,68,71
1626,8,206
1627,98,99
1628,476,576
1629,401,402
1630,52,248
1631,332,531
1632,465,566
1633,303,504
1634,131,132
1635,314,513
1636,102,105
1637,34,236
1638,21,117
1639,146,148
1640,498,599
1641,344,541
1642,135,138
1643,179,181
1644,366,565
1645,70,274
1646,186,189
1647,456,458
1648,448,454
1649,500,501
1650,317,416
1651,47,146
1652,368,467
1653,306,406
1654,501,502
1655,69,170
1656,223,228
1657,80,179
1658,328,430
1659,401,500
1660,555,558
1661,372,473
1662,38,39
1663,91,194
1664,264,265
1665,27,29
1666,405,506
1667,71,72
1668,116,223
1669,289,294
1670,106,209
1671,438,539
1672,136,237
1673,180,280
1674,427,529
1675,460,563
1676,93,95
1677,108,111
1678,130,135
1679,429,431
1680,474,582
1681,171,172
1682,9,110
1683,142,145
1684,462,464
1685,332,534
1686,51,255
1687,376,577
1688,61,156
1689,175,178
1690,365,567
1691,334,436
1692,58,272
1693,270,271
1694,116,213
1695,529,531
1696,367,469
1697,117,214
1698,149,246
1699,368,470
1700,514,524
1701,171,270
1702,304,305
1703,336,337
1704,441,539
1705,566,570
1706,38,42
1707,131,233
1708,369,370
1709,312,510
1710,445,545
1711,39,235
1712,402,403
1713,334,534
1714,305,507
1715,478,578
1716,32,232
1717,197,299
1718,403,404
1719,115,117
1720,367,567
1721,338,540
1722,65,265
1723,76,274
1724,68,270
1725,1,100
1726,167,169
1727,371,573
1728,45,143
1729,98,298
1730,304,403
1731,86,180
1732,38,140
1733,78,176
1734,491,494
1735,337,436
1736,470,471
1737,329,432
1738,502,503
1739,535,537
1740,370,469
1741,349,446
1742,352,451
